DFC_ANIO_PK;DFC_DESCRIPCION_MES;CODIGO_OPERA_FAMILIA;DESCRIPCION_FAMILIA;DESCRIPCION_PROVINCIA;COUNT(O667410.NUMERO_RUC)
2019;02 Febrero;L;ACTIVIDADES INMOBILIARIAS.;TUNGURAHUA;20
2019;02 Febrero;H;TRANSPORTE Y ALMACENAMIENTO.;BOLIVAR;7
2019;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;BOLIVAR;297
2019;01 Enero;F;CONSTRUCCIÓN.;PICHINCHA;142
2019;02 Febrero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;CHIMBORAZO;176
2019;02 Febrero;F;CONSTRUCCIÓN.;CHIMBORAZO;43
2019;01 Enero;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOS RIOS;504
2019;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ORELLANA;10
2019;02 Febrero;C;INDUSTRIAS MANUFACTURERAS.;LOJA;32
2019;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";EL ORO;298
2019;01 Enero;H;TRANSPORTE Y ALMACENAMIENTO.;GUAYAS;193
2019;01 Enero;J;INFORMACIÓN Y COMUNICACIÓN.;LOJA;9
2019;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;CAÑAR;10
2019;02 Febrero;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;CHIMBORAZO;10
2019;02 Febrero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;TUNGURAHUA;53
2019;02 Febrero;C;INDUSTRIAS MANUFACTURERAS.;SANTA ELENA;29
2019;02 Febrero;L;ACTIVIDADES INMOBILIARIAS.;CHIMBORAZO;8
2019;01 Enero;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOS RIOS;39
2019;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;PICHINCHA;100
2019;02 Febrero;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;AZUAY;1
2019;02 Febrero;F;CONSTRUCCIÓN.;SANTO DOMINGO DE LOS TSACHILAS;25
2019;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;GUAYAS;71
2019;01 Enero;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS.;PICHINCHA;36
2019;01 Enero;C;INDUSTRIAS MANUFACTURERAS.;TUNGURAHUA;85
2019;01 Enero;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";TUNGURAHUA;1
2019;02 Febrero;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;EL ORO;22
2019;01 Enero;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";CHIMBORAZO;10
2019;01 Enero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;ESMERALDAS;364
2019;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";PASTAZA;44
2019;01 Enero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;PICHINCHA;153
2019;02 Febrero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;BOLIVAR;12
2019;02 Febrero;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;ESMERALDAS;8
2019;02 Febrero;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";ESMERALDAS;5
2019;02 Febrero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;LOJA;12
2019;01 Enero;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";SANTA ELENA;167
2019;02 Febrero;J;INFORMACIÓN Y COMUNICACIÓN.;SANTO DOMINGO DE LOS TSACHILAS;2
2019;01 Enero;J;INFORMACIÓN Y COMUNICACIÓN.;GUAYAS;59
2019;02 Febrero;F;CONSTRUCCIÓN.;BOLIVAR;4
2019;02 Febrero;C;INDUSTRIAS MANUFACTURERAS.;CAÑAR;23
2019;02 Febrero;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;GALAPAGOS;1
2019;01 Enero;F;CONSTRUCCIÓN.;MANABI;71
2019;02 Febrero;F;CONSTRUCCIÓN.;SUCUMBIOS;11
2019;02 Febrero;H;TRANSPORTE Y ALMACENAMIENTO.;CARCHI;15
2019;02 Febrero;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";BOLIVAR;3
2019;01 Enero;J;INFORMACIÓN Y COMUNICACIÓN.;TUNGURAHUA;7
2019;02 Febrero;P;ENSEÑANZA.;CARCHI;4
2019;02 Febrero;J;INFORMACIÓN Y COMUNICACIÓN.;AZUAY;3
2019;01 Enero;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";BOLIVAR;2
2019;02 Febrero;P;ENSEÑANZA.;AZUAY;28
2019;01 Enero;F;CONSTRUCCIÓN.;PASTAZA;20
2019;01 Enero;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;NAPO;4
2019;02 Febrero;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;CAÑAR;8
2019;01 Enero;V;SIN ACTIVIDAD ECONOMICA - CIIU;PICHINCHA;2
2019;01 Enero;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;ZAMORA CHINCHIPE;6
2019;01 Enero;P;ENSEÑANZA.;CAÑAR;5
2019;01 Enero;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;ORELLANA;9
2019;01 Enero;L;ACTIVIDADES INMOBILIARIAS.;SANTA ELENA;5
2019;02 Febrero;J;INFORMACIÓN Y COMUNICACIÓN.;EL ORO;6
2019;01 Enero;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;COTOPAXI;10
2019;01 Enero;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";EL ORO;2
2019;02 Febrero;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;LOS RIOS;10
2019;02 Febrero;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;COTOPAXI;1
2019;01 Enero;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;LOJA;1
2019;02 Febrero;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";IMBABURA;2
2019;01 Enero;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;CHIMBORAZO;2
2019;02 Febrero;L;ACTIVIDADES INMOBILIARIAS.;CARCHI;1
2019;01 Enero;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";ESMERALDAS;2
2019;02 Febrero;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;MANABI;2
2019;01 Enero;J;INFORMACIÓN Y COMUNICACIÓN.;MORONA SANTIAGO;4
2019;02 Febrero;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;ORELLANA;1
2019;01 Enero;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;GALAPAGOS;2
2019;02 Febrero;L;ACTIVIDADES INMOBILIARIAS.;BOLIVAR;1
2019;02 Febrero;J;INFORMACIÓN Y COMUNICACIÓN.;PASTAZA;1
2019;04 Abril;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;ESMERALDAS;603
2019;04 Abril;B;EXPLOTACIÓN DE MINAS Y CANTERAS.;EL ORO;11
2019;04 Abril;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;LOS RIOS;369
2019;04 Abril;P;ENSEÑANZA.;CHIMBORAZO;54
2019;04 Abril;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;PICHINCHA;212
2019;03 Marzo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;GUAYAS;74
2019;03 Marzo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;IMBABURA;45
2019;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;TUNGURAHUA;59
2019;04 Abril;V;SIN ACTIVIDAD ECONOMICA - CIIU;CARCHI;1556
2019;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;EL ORO;31
2019;04 Abril;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;PASTAZA;18
2019;04 Abril;S;OTRAS ACTIVIDADES DE SERVICIOS.;IMBABURA;203
2019;04 Abril;S;OTRAS ACTIVIDADES DE SERVICIOS.;TUNGURAHUA;222
2019;04 Abril;J;INFORMACIÓN Y COMUNICACIÓN.;GUAYAS;123
2019;04 Abril;S;OTRAS ACTIVIDADES DE SERVICIOS.;COTOPAXI;124
2019;04 Abril;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";ORELLANA;3
2019;04 Abril;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CAÑAR;135
2019;04 Abril;L;ACTIVIDADES INMOBILIARIAS.;SANTA ELENA;12
2019;04 Abril;F;CONSTRUCCIÓN.;TUNGURAHUA;37
2019;04 Abril;F;CONSTRUCCIÓN.;COTOPAXI;11
2019;04 Abril;H;TRANSPORTE Y ALMACENAMIENTO.;CARCHI;29
2019;04 Abril;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;COTOPAXI;1
2019;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;CARCHI;114
2019;04 Abril;W;BAJO RELACION DE DEPENDENCIA SECTOR PRIVADO;AZUAY;1
2019;04 Abril;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;GALAPAGOS;2
2019;04 Abril;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ORELLANA;26
2019;04 Abril;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;ZAMORA CHINCHIPE;9
2019;04 Abril;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;GALAPAGOS;15
2019;04 Abril;F;CONSTRUCCIÓN.;ORELLANA;12
2019;04 Abril;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;PASTAZA;25
2019;03 Marzo;L;ACTIVIDADES INMOBILIARIAS.;CHIMBORAZO;12
2019;03 Marzo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;MANABI;307
2019;03 Marzo;H;TRANSPORTE Y ALMACENAMIENTO.;GUAYAS;227
2019;03 Marzo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";SUCUMBIOS;109
2019;04 Abril;J;INFORMACIÓN Y COMUNICACIÓN.;SANTA ELENA;3
2019;03 Marzo;H;TRANSPORTE Y ALMACENAMIENTO.;CHIMBORAZO;28
2019;03 Marzo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CAÑAR;77
2019;03 Marzo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";NAPO;43
2019;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;NAPO;67
2019;03 Marzo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;ESMERALDAS;5
2019;03 Marzo;P;ENSEÑANZA.;CHIMBORAZO;32
2019;03 Marzo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;IMBABURA;56
2019;03 Marzo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;PICHINCHA;122
2019;03 Marzo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;LOJA;11
2019;04 Abril;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;TUNGURAHUA;71
2019;03 Marzo;L;ACTIVIDADES INMOBILIARIAS.;MANABI;23
2019;03 Marzo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;TUNGURAHUA;47
2019;04 Abril;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;LOJA;62
2019;03 Marzo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;BOLIVAR;14
2019;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;MORONA SANTIAGO;74
2019;03 Marzo;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";CAÑAR;2
2019;03 Marzo;F;CONSTRUCCIÓN.;CARCHI;2
2019;03 Marzo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOS RIOS;56
2019;04 Abril;H;TRANSPORTE Y ALMACENAMIENTO.;BOLIVAR;17
2019;04 Abril;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;ZAMORA CHINCHIPE;18
2019;03 Marzo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";ORELLANA;52
2019;04 Abril;C;INDUSTRIAS MANUFACTURERAS.;SUCUMBIOS;34
2019;03 Marzo;C;INDUSTRIAS MANUFACTURERAS.;IMBABURA;60
2019;04 Abril;F;CONSTRUCCIÓN.;SANTA ELENA;16
2019;03 Marzo;L;ACTIVIDADES INMOBILIARIAS.;IMBABURA;8
2019;03 Marzo;L;ACTIVIDADES INMOBILIARIAS.;LOS RIOS;8
2019;03 Marzo;C;INDUSTRIAS MANUFACTURERAS.;SANTA ELENA;14
2019;04 Abril;J;INFORMACIÓN Y COMUNICACIÓN.;EL ORO;7
2019;04 Abril;D;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.;ZAMORA CHINCHIPE;1
2019;03 Marzo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;EL ORO;13
2019;04 Abril;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;SANTO DOMINGO DE LOS TSACHILAS;6
2019;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;GALAPAGOS;26
2019;04 Abril;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;TUNGURAHUA;13
2019;04 Abril;K;ACTIVIDADES FINANCIERAS Y DE SEGUROS.;IMBABURA;3
2019;04 Abril;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;NAPO;6
2019;03 Marzo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ZAMORA CHINCHIPE;12
2019;03 Marzo;F;CONSTRUCCIÓN.;CHIMBORAZO;42
2019;03 Marzo;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";CHIMBORAZO;4
2019;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;CAÑAR;61
2019;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";CARCHI;52
2019;03 Marzo;F;CONSTRUCCIÓN.;CAÑAR;6
2019;05 Mayo;M;ACTIVIDADES PROFESIONALES, CIENTÍFICAS Y TÉCNICAS.;EL ORO;58
2019;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;EL ORO;87
2019;03 Marzo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;NAPO;2
2019;03 Marzo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;CHIMBORAZO;8
2019;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;SANTA ELENA;20
2019;05 Mayo;A;AGRICULTURA, GANADERÍA,  SILVICULTURA Y PESCA.;COTOPAXI;210
2019;02 Febrero;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";PASTAZA;1
2019;03 Marzo;S;OTRAS ACTIVIDADES DE SERVICIOS.;SUCUMBIOS;29
2019;05 Mayo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;EL ORO;15
2019;04 Abril;D;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO.;PICHINCHA;4
2019;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;CARCHI;19
2019;04 Abril;F;CONSTRUCCIÓN.;CAÑAR;8
2019;03 Marzo;F;CONSTRUCCIÓN.;BOLIVAR;2
2019;03 Marzo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;CAÑAR;3
2019;03 Marzo;P;ENSEÑANZA.;CARCHI;7
2019;03 Marzo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;CARCHI;3
2019;04 Abril;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;BOLIVAR;3
2019;03 Marzo;P;ENSEÑANZA.;PASTAZA;4
2019;03 Marzo;F;CONSTRUCCIÓN.;GALAPAGOS;2
2019;05 Mayo;C;INDUSTRIAS MANUFACTURERAS.;PASTAZA;13
2019;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;IMBABURA;43
2019;03 Marzo;O;"ADMINISTRACIÓN PÚBLICA Y DEFENSA; PLANES DE SEGURIDAD SOCIAL DE AFILIACIÓN OBLIGATORIA.";ZAMORA CHINCHIPE;1
2019;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;MANABI;217
2019;05 Mayo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;SANTO DOMINGO DE LOS TSACHILAS;13
2019;05 Mayo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;PICHINCHA;140
2019;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;LOS RIOS;57
2019;05 Mayo;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";GUAYAS;36
2019;05 Mayo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;CHIMBORAZO;19
2019;03 Marzo;J;INFORMACIÓN Y COMUNICACIÓN.;LOS RIOS;9
2019;05 Mayo;Q;ACTIVIDADES DE ATENCIÓN DE LA SALUD HUMANA Y DE ASISTENCIA SOCIAL.;COTOPAXI;9
2019;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;MANABI;147
2019;05 Mayo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;ZAMORA CHINCHIPE;3
2019;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;LOJA;71
2019;05 Mayo;F;CONSTRUCCIÓN.;NAPO;18
2019;05 Mayo;L;ACTIVIDADES INMOBILIARIAS.;MANABI;13
2019;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;TUNGURAHUA;28
2019;05 Mayo;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;ZAMORA CHINCHIPE;1
2019;05 Mayo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;TUNGURAHUA;8
2019;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;ZAMORA CHINCHIPE;23
2019;05 Mayo;I;ACTIVIDADES DE ALOJAMIENTO Y DE SERVICIO DE COMIDAS.;ZAMORA CHINCHIPE;18
2019;05 Mayo;P;ENSEÑANZA.;GALAPAGOS;4
2019;05 Mayo;L;ACTIVIDADES INMOBILIARIAS.;CHIMBORAZO;5
2019;05 Mayo;R;ARTES, ENTRETENIMIENTO Y RECREACIÓN.;LOS RIOS;14
2019;05 Mayo;G;"COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS.";MORONA SANTIAGO;52
2019;05 Mayo;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";PICHINCHA;4
2019;05 Mayo;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;ORELLANA;1
2019;03 Marzo;T;"ACTIVIDADES DE LOS HOGARES COMO EMPLEADORES; ACTIVIDADES NO DIFERENCIADAS DE LOS HOGARES COMO PRODUCTORES DE BIENES Y SERVICIOS PARA USO PROPIO.";ESMERALDAS;1
2019;05 Mayo;S;OTRAS ACTIVIDADES DE SERVICIOS.;GALAPAGOS;10
2019;03 Marzo;J;INFORMACIÓN Y COMUNICACIÓN.;CARCHI;1
2019;05 Mayo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;MORONA SANTIAGO;3
2019;04 Abril;F;CONSTRUCCIÓN.;CARCHI;1
2019;05 Mayo;N;ACTIVIDADES DE SERVICIOS ADMINISTRATIVOS Y DE APOYO.;CARCHI;7
2019;05 Mayo;H;TRANSPORTE Y ALMACENAMIENTO.;MORONA SANTIAGO;4
2019;05 Mayo;P;ENSEÑANZA.;SUCUMBIOS;3
2019;04 Abril;X;BAJO RELACION DE DEPENDENCIA SECTOR PUBLICO;PASTAZA;1
2019;03 Marzo;E;"DISTRIBUCIÓN DE AGUA; ALCANTARILLADO, GESTIÓN DE DESECHOS Y ACTIVIDADES DE SANEAMIENTO.";CARCHI;1
2019;05 Mayo;J;INFORMACIÓN Y COMUNICACIÓN.;CAÑAR;2
